No.,Port/L2 Forwarder VLAN,Port VLAN,Count
142,"C700 ( IPTV_etisalat, Residential Bridge )",C700,2
143,"C701 ( IPTV, Residential Bridge )",C701,1
144,"C701 ( IPTV_etisalat, Residential Bridge )",C701,2
145,"C704 ( IPTV_etisalat, Residential Bridge )",C704,1
146,"C705 ( IPTV_etisalat, Residential Bridge )",C705,1
147,"C715 ( IPTV, Residential Bridge )",C715,23
148,"C800 ( BH_IPNGLDC_MGMT, Residential Bridge )",C800,1
149,"C800 ( IPDSLAM_OLT_MGMT, Residential Bridge )",C800,1
150,"C800 ( IPNGDLC_BB_MGMT, Residential Bridge )",C800,2
151,"C800 ( IPNGDLC_MALC_BB_MGMT, Residential Bridge )",C800,1
152,"C800 ( IPNGDLC_MGMT, Residential Bridge )",C800,29
153,"C800 ( IPNGLDC_MALC_MGMT, Residential Bridge )",C800,2
154,"C800 ( MALC_RAPTOR_IPNGDLC, Residential Bridge )",C800,3
155,"C800 ( MALC_RAPTOR_IPNGDLC_MGMT, Residential Bridge )",C800,15
156,"C800 ( MALC_RAPTOR_MGMT, Residential Bridge )",C800,30
157,"C800 ( WR-MZD-HU01_IPNGDLC_MGMT, Residential Bridge )",C800,1
158,"C801 ( DXB-JDF27-HU01_MGMT, Residential Bridge )",C801,1
159,"C801 ( IPNGDLC_MGMT, Residential Bridge )",C801,9
160,"C801 ( MALC_RAPTOR_IPNGDLC_MGMT, Residential Bridge )",C801,1
161,"C801 ( MALC_Raptor_MGMT, Residential Bridge )",C801,8
162,"C805 ( MALC_RAPTOR_IPNGDLC_MGMT, Residential Bridge )",C805,1
163,"C806 ( IPDSLAM_OLT_MGMT, Residential Bridge )",C806,2
164,"C807 ( IPDSLAM_OLT_MGMT, Residential Bridge )",C807,2
165,"C807 ( IPNGLDC_MALC_MGMT, Residential Bridge )",C807,1
166,"C810 ( IPNGDLC_MGMT, Residential Bridge )",C810,2
167,"C810 ( MALC_RAPTOR_IPNGDLC_MGMT, Residential Bridge )",C810,6
168,"C810 ( MALC_RAPTOR_MGMT, Residential Bridge )",C810,1
169,"C814 ( IPNGDLC_MGMT, Residential Bridge )",C814,1
170,"C820 ( IPDSLAM_OLT_MGMT, Residential Bridge )",C820,4
171,"C821 ( MALC-RAPTOR_IPNGDLC_MGMT, Residential Bridge )",C821,2
172,"C833 ( IPDSLAM_OLT_MGMT, Residential Bridge )",C833,1
173,"C836 ( IPNGDLC_MGMT, Residential Bridge )",C836,1
174,"C850 ( 850,Bulk IPTV, Residential Bridge )",C850,1
175,"C850 ( BIPTV_MGMT, Residential Bridge )",C850,1
176,"C850 ( BULKIPTV_MNG, Residential Bridge )",C850,1
177,"C850 ( BULK_IPTV, Residential Bridge )",C850,1
178,"C850 ( BULK_IPTV_MGMT, Residential Bridge )",C850,1
179,"C850 ( BulkIPTV, Residential Bridge )",C850,1
180,"C870 ( Probe_MGMT1, Residential Bridge )",C870,1
181,"C871 ( Probe_MGMT2, Residential Bridge )",C871,1
182,"C885 ( .CSG_MGMT., Residential Bridge )",C885,3
183,"C885 ( CSG_MGMT, Residential Bridge )",C885,54
184,"C886 ( PMS_VLAN_886, Residential Bridge )",C886,2
185,"C886 ( PWR_MGMT, Residential Bridge )",C886,15
186,"C886 ( SP_MGMT, Residential Bridge )",C886,16
187,"C886 ( Solar_PWR_MGMT_1M, Residential Bridge )",C886,7
188,"C887 ( CCTV_Mobile_Monitoring, Residential Bridge )",C887,4
189,"C889 ( 889, Residential Bridge )",C889,1
190,"C889 ( BNG-INTERNET, Residential Bridge )",C889,1
191,"C900 ( 2G&3G_TRAFFIC_VLAN, Residential Bridge )",C900,6
192,"C900 ( 2G-3G-RAN, Residential Bridge )",C900,7
193,"C900 ( 2G3G_RAN, Residential Bridge )",C900,84
194,"C900 ( 2G3G_SRAN, Residential Bridge )",C900,2429
195,"C900 ( 2G3G_SRAN, Residential Bridge )",C900,20
196,"C900 ( 2G_3G_RAN, Residential Bridge )",C900,45
197,"C950 ( 4G_TRAFFIC_VLAN, Residential Bridge )",C950,15
198,"C950 ( LTE-RAN, Residential Bridge )",C950,7
199,"C950 ( LTE_RAN, Residential Bridge )",C950,155
200,"C950 ( LTE_SRAN, Residential Bridge )",C950,2059
201,"C950 ( LTE_SRAN, Residential Bridge )",C950,23
202,"C951 ( 4G_OAM_VLAN, Residential Bridge )",C951,15
203,"C951 ( LTE-OAM, Residential Bridge )",C951,7
204,"C951 ( LTE_OAM, Residential Bridge )",C951,1639
205,"C951 ( LTE_OAM, Residential Bridge )",C951,20
206,"C970 ( 2G&3G_OAM_VLAN, Residential Bridge )",C970,14
207,"C970 ( 2G-3G-OAM, Residential Bridge )",C970,7
208,"C970 ( 2G3G_OAM, Residential Bridge )",C970,1834
209,"C970 ( 2G3G_OAM, Residential Bridge )",C970,17
210,"C970 ( 2G_3G_OAM, Residential Bridge )",C970,23
211,"C989 ( MBH, Residential Bridge )",C989,3
212,"C989 ( MBHT_RFC_Test, Residential Bridge )",C989,1
213,"C989 ( MBH_Probe_Vlan, Residential Bridge )",C989,4
214,"C989 ( MBH_RFC, Residential Bridge )",C989,20
215,"C989 ( MBH_RFC_TEST, Residential Bridge )",C989,16
216,"C989 ( MBH_RFC_TEST, Residential Bridge )",C989,1
217,"C989 ( MBH_TEST, Residential Bridge )",C989,172
218,"C989 ( MBH_TEST, Residential Bridge )",C989,9
219,"C989 ( MBH_TEST_989, Residential Bridge )",C989,2
220,"C989 ( MBH_TEST_989, Residential Bridge )",C989,1
221,"C989 ( MBH_TEST_VLAN, Residential Bridge )",C989,32
222,"C989 ( MBH_VLAN, Residential Bridge )",C989,5
223,"C989 ( MBTT, Residential Bridge )",C989,1
224,"C989 ( Mob Probe, Residential Bridge )",C989,4
225,"C989 ( TEST, Residential Bridge )",C989,1
226,"C989 ( TEST_GSM989, Residential Bridge )",C989,1
227,"C989 ( Test_VLAN_MBH, Residential Bridge )",C989,382
228,"C990 ( 2G-3G RAN, Residential Bridge )",C990,5
229,"C990 ( 2G3G_OAM_2nd, Residential Bridge )",C990,11
230,"C990 ( 2G3G_RAN_2nd, Residential Bridge )",C990,52
231,"C990 ( 2G3G_RAN_2nd_Subnet, Residential Bridge )",C990,33
232,"C990 ( 2G3G_RAN_SecondSubnet, Residential Bridge )",C990,4
233,"C990 ( 2G3G_RAN_SecondSubnet_990, Residential Bridge )",C990,11
234,"C990 ( 2G3G_RAN_Second_Subnet, Residential Bridge )",C990,57
235,"C990 ( 2G_3G_Additional_subnet, Residential Bridge )",C990,3
236,"C990 ( 2G_3G_RAN, Residential Bridge )",C990,112
237,"C990 ( 2G_3G_RAN_2nd_subnet, Residential Bridge )",C990,49
238,"C990 ( 2G_3G_RAN_Second_Subnet, Residential Bridge )",C990,10
239,"C990 ( 2G_3G_RAN_UPLINK, Residential Bridge )",C990,29
240,"C990 ( 2G_3G_SRAN_2, Residential Bridge )",C990,351
241,"C990 ( 2nd_2G_3G_RAN, Residential Bridge )",C990,13
242,"C990 ( Additional_subnet_990, Residential Bridge )",C990,5
243,"C990 ( Second_Subnet_2G3G_RAN, Residential Bridge )",C990,44
244,"C991 ( 2G3G_OAM_2nd, Residential Bridge )",C991,30
245,"C991 ( 2G3G_OAM_2nd_Subnet, Residential Bridge )",C991,3
246,"C991 ( 2G3G_OAM_SecondSubnet, Residential Bridge )",C991,4
247,"C991 ( 2G3G_OAM_Second_Subnet, Residential Bridge )",C991,36
248,"C991 ( 2G3G_RAN_2nd, Residential Bridge )",C991,10
249,"C991 ( 2G_3G_Additional_subnet_991_UPLINK, Residential Bridge )",C991,3
250,"C991 ( 2G_3G_OAM, Residential Bridge )",C991,53
251,"C991 ( 2G_3G_OAM_2, Residential Bridge )",C991,197
252,"C991 ( 2G_3G_OAM_2nd_subnet, Residential Bridge )",C991,39
253,"C991 ( 2G_3G_OAM_Second_Subnet, Residential Bridge )",C991,10
254,"C991 ( 2G_3G_OAM_uplink, Residential Bridge )",C991,17
255,"C991 ( 2nd_2G_3G_OAM, Residential Bridge )",C991,1
256,"C991 ( Second_Subnet_2G3G_OAM, Residential Bridge )",C991,9
257,"C992 ( 2G_3G_Additional_subnet_992_UPLINK, Residential Bridge )",C992,5
258,"C992 ( 2nd_LTE_RAN, Residential Bridge )",C992,16
259,"C992 ( 4G_RAN_2nd_subnet, Residential Bridge )",C992,30
